Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.pdsm4dmp.json	26181	-	0	0	0	0	0	0	23	61	0	0	0	0	1	0	0	1	0	0	27	171	404	0	0	0	5	0	1
fsh-generated/resources/Binary-AuthorDispositif.json	1341	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	14	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorInstitutionCabinetRPPS.json	1351	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	7	12	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorInstitutionSNR.json	1343	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	6	12	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorInstitutionStructure.json	1349	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	12	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorPSCabinetRPPS.json	1344	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	6	13	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorPatient.json	1338	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	11	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorStructure.json	1340	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	15	0	0	0	0	0	0
fsh-generated/resources/Binary-example-annexe-binary-cda.json	226	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	4	10	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-documentReferenceToPDSM.json	7426	3	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	12	73	188	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-submissionSetToPDSM.json	3412	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	12	33	82	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-example-annexe-docref-cda.json	3100	3	0	0	0	0	0	0	1	478	0	0	0	0	0	0	0	0	0	0	23	33	40	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-example-annexe-docref-fhir.json	3077	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	12	28	36	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-example-td3-1a-cr-consultation.json	3088	2	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	11	29	38	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-example-td3-1a-fhir-document.json	3049	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	9	29	35	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-example-td3-1a-ordonnance.json	3017	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	7	27	38	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-ActorPS.json	2260	3	0	20	0	0	0	1	0	61	0	0	1	0	1	0	0	0	0	0	1	103	775	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ActorPatient.json	2164	2	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	1	81	277	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ActorSNR.json	2209	2	0	8	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	73	261	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ActorSystem.json	2127	2	0	8	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	1	74	256	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ActorXDS.json	5924	2	0	1	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	1	78	241	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Author.json	4643	2	0	12	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	73	248	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-AuthorDocumentEntry.json	4337	2	0	6	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	59	220	0	0	0	1	0	0
