Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.pdsm4dmp.json	23377	-	0	0	0	0	0	0	22	79	0	0	1	0	0	0	0	1	0	0	39	207	452	0	0	0	6	0	2
fsh-generated/resources/Binary-AuthorDispositif.json	1341	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	13	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorInstitutionCabinetRPPS.json	1351	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	7	11	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorInstitutionSNR.json	1343	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	11	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorInstitutionStructure.json	1349	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	11	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorPSCabinetRPPS.json	1344	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	7	11	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorPatient.json	1338	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	11	0	0	0	0	0	0
fsh-generated/resources/Binary-AuthorStructure.json	1340	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	14	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-documentReferenceToPDSM.json	7426	4	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	10	81	203	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-submissionSetToPDSM.json	3412	2	0	0	0	0	0	0	1	331	0	0	0	0	0	0	0	0	0	0	9	36	87	0	0	0	1	0	0
fsh-generated/resources/DocumentReference-example-td3-1a-cr-consultation.json	3088	3	0	0	0	0	0	0	1	1438	0	0	0	0	0	0	0	0	0	0	17	35	38	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-example-td3-1a-fhir-document.json	3049	3	0	0	0	0	0	0	1	214	0	0	0	0	0	0	0	0	0	0	8	32	28	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-example-td3-1a-ordonnance.json	3017	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	8	31	21	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ActorPS.json	2260	3	0	25	0	0	1	0	0	75	0	0	0	0	0	0	0	1	0	0	2	118	1011	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ActorPatient.json	2164	2	0	11	0	0	0	0	0	20	0	0	0	0	1	0	0	0	0	0	1	108	277	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ActorSNR.json	2209	3	0	12	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	107	257	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ActorSystem.json	2127	2	0	11	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1	110	243	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ActorXDS.json	5924	4	0	1	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	4	101	216	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-Author.json	4643	2	0	17	0	0	0	0	0	21	0	0	1	0	1	0	0	0	0	0	3	103	217	0	1	0	3	0	0
fsh-generated/resources/StructureDefinition-AuthorDocumentEntry.json	4337	3	0	11	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	2	83	187	0	0	0	2	0	0
